ds	gene	nSNPs	pp.h4
PsychENCODE_eQTLs	ENSG00000116771	139	0.000532006766331862
PsychENCODE_eQTLs	ENSG00000116786	115	0.980123952032653
PsychENCODE_eQTLs	ENSG00000132906	136	1.18336293612532e-05
PsychENCODE_eQTLs	ENSG00000162461	119	0.0773735561328259
PsychENCODE_eQTLs	ENSG00000197312	109	0.72014724381603
PsychENCODE_eQTLs	ENSG00000084636	17	3.09640025223131e-07
PsychENCODE_eQTLs	ENSG00000084628	5	0.974059254168037
PsychENCODE_eQTLs	ENSG00000164002	10	0.94757874038096
PsychENCODE_eQTLs	ENSG00000162368	16	5.11468361725846e-05
PsychENCODE_eQTLs	ENSG00000240563	10	0.541929824683532
PsychENCODE_eQTLs	ENSG00000116678	9	0.811286755996807
PsychENCODE_eQTLs	ENSG00000152760	29	0.793789472225356
PsychENCODE_eQTLs	ENSG00000152763	51	0.800865837227507
PsychENCODE_eQTLs	ENSG00000198160	8	0.675532158295288
PsychENCODE_eQTLs	ENSG00000172260	10	0.000391333439103862
PsychENCODE_eQTLs	ENSG00000154027	119	0.334238162585434
PsychENCODE_eQTLs	ENSG00000117226	145	0.0102671067477889
PsychENCODE_eQTLs	ENSG00000143013	13	0.935864841460036
PsychENCODE_eQTLs	ENSG00000163125	58	0.964422220489071
PsychENCODE_eQTLs	ENSG00000143387	18	0.734995035859298
PsychENCODE_eQTLs	ENSG00000143374	62	0.897449788164793
PsychENCODE_eQTLs	ENSG00000143369	22	0.926691886605748
PsychENCODE_eQTLs	ENSG00000143575	52	0.150168396391753
PsychENCODE_eQTLs	ENSG00000152382	41	0.000436117397911607
PsychENCODE_eQTLs	ENSG00000143157	39	0.0725796649786586
PsychENCODE_eQTLs	ENSG00000143194	73	0.000222742369585338
PsychENCODE_eQTLs	ENSG00000117593	185	0.00259968246671301
PsychENCODE_eQTLs	ENSG00000117601	224	0.00338796504703641
PsychENCODE_eQTLs	ENSG00000162753	154	0.0038017021671641
PsychENCODE_eQTLs	ENSG00000183831	217	0.00352820761768556
PsychENCODE_eQTLs	ENSG00000117592	33	0.642313956638942
PsychENCODE_eQTLs	ENSG00000152061	184	0.15191924702863
PsychENCODE_eQTLs	ENSG00000135870	61	0.634505353868468
PsychENCODE_eQTLs	ENSG00000120332	99	0.0362606426517165
PsychENCODE_eQTLs	ENSG00000162670	8	0.883374840971444
PsychENCODE_eQTLs	ENSG00000134376	97	0.847184567823641
PsychENCODE_eQTLs	ENSG00000213047	57	0.0106270770970976
PsychENCODE_eQTLs	ENSG00000151414	79	0.552114579015499
PsychENCODE_eQTLs	ENSG00000198892	44	1.39101824599954e-05
PsychENCODE_eQTLs	ENSG00000134369	10	0.999499457729059
PsychENCODE_eQTLs	ENSG00000163431	44	0.967634971140607
PsychENCODE_eQTLs	ENSG00000054392	11	0.836769465830229
PsychENCODE_eQTLs	ENSG00000117597	28	0.00155320045915394
PsychENCODE_eQTLs	ENSG00000143469	50	0.000109550792301946
PsychENCODE_eQTLs	ENSG00000163041	72	0.180906983855242
PsychENCODE_eQTLs	ENSG00000203685	26	0.467117512449385
eQTLGen_cis_eQTLs	ENSG00000049245	211	0.984913027722332
eQTLGen_cis_eQTLs	ENSG00000049246	209	2.81005179236251e-05
eQTLGen_cis_eQTLs	ENSG00000049247	206	2.59107545951571e-05
eQTLGen_cis_eQTLs	ENSG00000049249	211	1.73190059026004e-05
eQTLGen_cis_eQTLs	ENSG00000171735	211	6.79581624730172e-06
eQTLGen_cis_eQTLs	ENSG00000116771	287	0.000495508589138234
eQTLGen_cis_eQTLs	ENSG00000116786	286	2.96901591651316e-06
eQTLGen_cis_eQTLs	ENSG00000132906	287	0.00031749554007293
eQTLGen_cis_eQTLs	ENSG00000162461	287	8.42424447437165e-07
eQTLGen_cis_eQTLs	ENSG00000197312	284	0.63519276991782
eQTLGen_cis_eQTLs	ENSG00000121775	118	0.933723344900873
eQTLGen_cis_eQTLs	ENSG00000134668	118	0.122711003695374
eQTLGen_cis_eQTLs	ENSG00000162517	118	0.0291060219320602
eQTLGen_cis_eQTLs	ENSG00000116514	167	0.985430526328149
eQTLGen_cis_eQTLs	ENSG00000134686	167	9.03448635276639e-05
eQTLGen_cis_eQTLs	ENSG00000160094	167	0.000253591781871572
eQTLGen_cis_eQTLs	ENSG00000184389	166	0.000218257450322823
eQTLGen_cis_eQTLs	ENSG00000054118	249	0.00377241216167645
eQTLGen_cis_eQTLs	ENSG00000116871	249	4.32731139505912e-09
eQTLGen_cis_eQTLs	ENSG00000183386	132	0.00323957138207158
eQTLGen_cis_eQTLs	ENSG00000066136	76	3.34321057045635e-05
eQTLGen_cis_eQTLs	ENSG00000117016	76	0.000107594856551561
eQTLGen_cis_eQTLs	ENSG00000131238	76	0.16024020407115
eQTLGen_cis_eQTLs	ENSG00000164002	71	2.05558920135525e-07
eQTLGen_cis_eQTLs	ENSG00000187815	71	2.05557602072494e-07
eQTLGen_cis_eQTLs	ENSG00000162366	81	0.983119899084353
eQTLGen_cis_eQTLs	ENSG00000162367	81	0.296969467394299
eQTLGen_cis_eQTLs	ENSG00000162368	81	4.58208086683756e-05
eQTLGen_cis_eQTLs	ENSG00000172456	40	0.98647483862127
eQTLGen_cis_eQTLs	ENSG00000177606	40	0.782801757359841
eQTLGen_cis_eQTLs	ENSG00000184292	40	1.97551269525924e-06
eQTLGen_cis_eQTLs	ENSG00000132849	90	0.0046432283337174
eQTLGen_cis_eQTLs	ENSG00000240563	90	0.00463723249145794
eQTLGen_cis_eQTLs	ENSG00000116678	473	6.02082021193841e-05
eQTLGen_cis_eQTLs	ENSG00000118473	680	0.00574051066316483
eQTLGen_cis_eQTLs	ENSG00000152760	680	5.11018327230776e-05
eQTLGen_cis_eQTLs	ENSG00000213625	469	0.000111007149309781
eQTLGen_cis_eQTLs	ENSG00000198160	524	5.3480303514923e-06
eQTLGen_cis_eQTLs	ENSG00000116704	409	9.24598809242326e-10
eQTLGen_cis_eQTLs	ENSG00000162594	207	0.939808162160264
eQTLGen_cis_eQTLs	ENSG00000172260	1403	0.994856126259029
eQTLGen_cis_eQTLs	ENSG00000254685	753	4.12637320571239e-17
eQTLGen_cis_eQTLs	ENSG00000116791	60	0.996089834211605
eQTLGen_cis_eQTLs	ENSG00000122420	786	0.789215169260065
eQTLGen_cis_eQTLs	ENSG00000142892	739	1.77533573199066e-06
eQTLGen_cis_eQTLs	ENSG00000154027	787	1.74603753780994e-06
eQTLGen_cis_eQTLs	ENSG00000162613	787	0.0579839307381902
eQTLGen_cis_eQTLs	ENSG00000162614	787	1.169997900106e-06
eQTLGen_cis_eQTLs	ENSG00000117226	1501	2.46503744946895e-08
eQTLGen_cis_eQTLs	ENSG00000137944	1478	2.78165935728581e-10
eQTLGen_cis_eQTLs	ENSG00000137947	1501	2.31403661131303e-10
eQTLGen_cis_eQTLs	ENSG00000162654	1496	1.1546845255939e-07
eQTLGen_cis_eQTLs	ENSG00000197147	1185	2.5396090619589e-05
eQTLGen_cis_eQTLs	ENSG00000117569	1697	1.51161151198234e-09
eQTLGen_cis_eQTLs	ENSG00000188641	460	0.000183239025628446
eQTLGen_cis_eQTLs	ENSG00000162631	474	3.47026121431086e-14
eQTLGen_cis_eQTLs	ENSG00000198890	474	2.99154246074981e-11
eQTLGen_cis_eQTLs	ENSG00000116830	408	2.69486786513348e-07
eQTLGen_cis_eQTLs	ENSG00000134256	408	5.68091028190347e-10
eQTLGen_cis_eQTLs	ENSG00000183508	408	0.48622177603604
eQTLGen_cis_eQTLs	ENSG00000198162	408	0.943879282394941
eQTLGen_cis_eQTLs	ENSG00000014914	433	0.0808829508181566
eQTLGen_cis_eQTLs	ENSG00000143369	433	9.83741632045327e-05
eQTLGen_cis_eQTLs	ENSG00000143374	433	0.27926965088417
eQTLGen_cis_eQTLs	ENSG00000143382	422	9.46944154117746e-06
eQTLGen_cis_eQTLs	ENSG00000143384	433	1.54964678815581e-05
eQTLGen_cis_eQTLs	ENSG00000143387	481	3.49159582857299e-05
eQTLGen_cis_eQTLs	ENSG00000143401	433	6.68009841204748e-06
eQTLGen_cis_eQTLs	ENSG00000143409	494	2.81297756802815e-05
eQTLGen_cis_eQTLs	ENSG00000143437	493	3.30737153266022e-05
eQTLGen_cis_eQTLs	ENSG00000143457	433	0.000482678483470516
eQTLGen_cis_eQTLs	ENSG00000163125	431	0.910812142842552
eQTLGen_cis_eQTLs	ENSG00000163131	433	3.45965009701498e-05
eQTLGen_cis_eQTLs	ENSG00000163141	494	9.80931221956605e-06
eQTLGen_cis_eQTLs	ENSG00000163156	479	2.87786590158825e-05
eQTLGen_cis_eQTLs	ENSG00000187145	431	0.0128643608251054
eQTLGen_cis_eQTLs	ENSG00000197622	482	0.00978966112938142
eQTLGen_cis_eQTLs	ENSG00000213190	494	0.261450807575233
eQTLGen_cis_eQTLs	ENSG00000143390	395	0.938402228375581
eQTLGen_cis_eQTLs	ENSG00000159445	61	0.000212089465315067
eQTLGen_cis_eQTLs	ENSG00000182134	61	2.05279182429443e-05
eQTLGen_cis_eQTLs	ENSG00000213171	61	0.00010024257320422
eQTLGen_cis_eQTLs	ENSG00000143515	192	0.000989647218617496
eQTLGen_cis_eQTLs	ENSG00000143549	192	0.000885253193548971
eQTLGen_cis_eQTLs	ENSG00000143569	192	0.000265467347521858
eQTLGen_cis_eQTLs	ENSG00000143570	192	0.00455901979713503
eQTLGen_cis_eQTLs	ENSG00000143575	192	0.153544525774024
eQTLGen_cis_eQTLs	ENSG00000143595	192	0.915907553954977
eQTLGen_cis_eQTLs	ENSG00000160679	192	0.0012139843276727
eQTLGen_cis_eQTLs	ENSG00000163221	192	0.674687123283493
eQTLGen_cis_eQTLs	ENSG00000189171	187	0.000113731875970029
eQTLGen_cis_eQTLs	ENSG00000143157	251	0.00788782753393386
eQTLGen_cis_eQTLs	ENSG00000152382	248	1.0062190331921e-06
eQTLGen_cis_eQTLs	ENSG00000076321	1297	3.02993994301344e-05
eQTLGen_cis_eQTLs	ENSG00000117592	960	9.3126554041382e-05
eQTLGen_cis_eQTLs	ENSG00000117593	1297	0.00016603644491352
eQTLGen_cis_eQTLs	ENSG00000117601	1294	0.000168078698489708
eQTLGen_cis_eQTLs	ENSG00000135870	1277	0.000162458100374418
eQTLGen_cis_eQTLs	ENSG00000152061	1197	0.000113640153661867
eQTLGen_cis_eQTLs	ENSG00000235750	663	0.000151864927543685
eQTLGen_cis_eQTLs	ENSG00000116698	37	0.00228197862508414
eQTLGen_cis_eQTLs	ENSG00000143333	37	8.26492094848948e-05
eQTLGen_cis_eQTLs	ENSG00000150681	1049	2.66145899625539e-09
eQTLGen_cis_eQTLs	ENSG00000151414	1563	4.77046413859627e-06
eQTLGen_cis_eQTLs	ENSG00000213047	1563	1.34996275528711e-07
eQTLGen_cis_eQTLs	ENSG00000163431	201	6.42234992017892e-08
eQTLGen_cis_eQTLs	ENSG00000176393	201	5.26888353066692e-08
eQTLGen_cis_eQTLs	ENSG00000198700	201	0.00728078806467042
eQTLGen_cis_eQTLs	ENSG00000198892	201	2.41703218816102e-08
eQTLGen_cis_eQTLs	ENSG00000133059	10	0.000134928933580348
eQTLGen_cis_eQTLs	ENSG00000163545	10	0.999925683453453
eQTLGen_cis_eQTLs	ENSG00000117595	338	2.74130004273939e-05
eQTLGen_cis_eQTLs	ENSG00000117597	334	2.85866757732791e-05
