ensg	credDC	credDC.maxCADD	credDC.maxPIP	credDC.minP	credDC.loci	cred_eQTL	cred_eQTL.ts	cred_eQTL.maxPIP	cred_eQTL.minP	cred_eQTL.loci	gwsDC	gwsDC.maxCADD	gwsDC.minP	gwsDC.loci	gws_eQTL	gws_eQTL.ts	gws_eQTL.minP	gws_eQTL.loci
ENSG00000105607	1	0.784	0.209918	4.974e-08	521	2	PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Subcutaneous:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Adrenal_Gland:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Tibial:GTEx/v8/Brain_Amygdala:GTEx/v8/Brain_Anterior_cingulate_cortex_BA24:GTEx/v8/Brain_Caudate_basal_ganglia:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Brain_Cortex:GTEx/v8/Brain_Frontal_Cortex_BA9:GTEx/v8/Brain_Hippocampus:GTEx/v8/Brain_Hypothalamus:GTEx/v8/Brain_Nucleus_accumbens_basal_ganglia:GTEx/v8/Brain_Putamen_basal_ganglia:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Colon_Sigmoid:GTEx/v8/Colon_Transverse:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Minor_Salivary_Gland:GTEx/v8/Muscle_Skeletal:GTEx/v8/Nerve_Tibial:GTEx/v8/Pancreas:GTEx/v8/Pituitary:GTEx/v8/Prostate:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Stomach:GTEx/v8/Testis:GTEx/v8/Thyroid:GTEx/v8/Vagina:GTEx/v8/Whole_Blood	0.268682	4.181e-08	521	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000124593	1	8.522	0.108252	4.696e-14	214	4	GTEx/v8/Lung	0.157103	3.236e-14	214	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000130203	2	25.1	0.818216	2.133e-12	527	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000120093	1	14.93	0.213819	9.563e-10	502	2	eQTLGen_cis_eQTLs:GTEx/v8/Muscle_Skeletal:GTEx/v8/Skin_Not_Sun_Exposed_Suprapubic:GTEx/v8/Whole_Blood	0.213819	9.563e-10	502	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000140262	1	10.37	0.226453	0.0001273	457	3	PsychENCODE_eQTLs:GTEx/v8/Heart_Atrial_Appendage	1	2.04e-10	457	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000179912	1	23.9	1	4.592e-12	396	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000132849	1	26.8	0.247546	9.462e-08	15	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000113048	1	15.38	0.102209	4.554e-09	172	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
UNKNOWN	1	0.512	0.122875	7.604e-16	373	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000079393	2	15.44	0.16491	2.425e-11	343	3	GTEx/v8/Esophagus_Mucosa:GTEx/v8/Muscle_Skeletal:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Testis	0.333906	1.2e-11	343	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000169696	1	24.9	0.885511	1.155e-13	508	1	GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Colon_Transverse:GTEx/v8/Liver:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Pituitary:GTEx/v8/Small_Intestine_Terminal_Ileum:GTEx/v8/Spleen:GTEx/v8/Thyroid	0.885511	1.155e-13	508	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000137947	1	7.251	0.366832	6.875e-09	22	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000139318	1	23.2	0.184175	2.874e-09	403	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000138821	1	23.1	0.663785	6.802e-24	154	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000138688	1	29.1	0.233762	2.488e-10	158	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000204839	2	15.46	0.201292	1.16e-11	302	13	PsychENCODE_eQTLs:GTEx/v8/Artery_Aorta:GTEx/v8/Skin_Sun_Exposed_Lower_leg:GTEx/v8/Small_Intestine_Terminal_Ileum	0.999931	1.16e-11	302	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000115896	1	26.7	0.348888	2.828e-16	86	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000116786	NA	NA	NA	NA	NA	3	PsychENCODE_eQTLs:GTEx/v8/Brain_Cerebellar_Hemisphere:GTEx/v8/Brain_Cerebellum:GTEx/v8/Esophagus_Mucosa	0.940992	6.318e-08	3	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000134369	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.180349	5.978e-12	36	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000163431	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.180349	5.978e-12	36	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000138095	NA	NA	NA	NA	NA	4	PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:GTEx/v8/Adipose_Visceral_Omentum:GTEx/v8/Artery_Aorta:GTEx/v8/Cells_Cultured_fibroblasts:GTEx/v8/Esophagus_Mucosa:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Lung:GTEx/v8/Muscle_Skeletal:GTEx/v8/Thyroid	0.21212	2.861e-05	49	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000154518	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.379532	4.964e-11	83	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000114316	NA	NA	NA	NA	NA	4	PsychENCODE_eQTLs	0.354256	1.035e-19	106	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000174963	NA	NA	NA	NA	NA	3	PsychENCODE_eQTLs:GTEx/v8/Cells_Cultured_fibroblasts	0.313096	3.445e-12	122	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000187068	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.995141	3.553e-05	134	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000109133	NA	NA	NA	NA	NA	2	PsychENCODE_eQTLs	0.394919	8.325e-08	144	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000188848	NA	NA	NA	NA	NA	2	PsychENCODE_eQTLs	0.394919	8.325e-08	144	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000161011	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.149764	2.922e-09	201	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000161010	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.120236	3.59e-09	201	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000161896	NA	NA	NA	NA	NA	3	PsychENCODE_eQTLs:GTEx/v8/Spleen	1	9.845e-20	210	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000161904	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	1	3.545e-10	210	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000124641	NA	NA	NA	NA	NA	5	PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:GTEx/v8/Artery_Aorta:GTEx/v8/Artery_Coronary:GTEx/v8/Brain_Cerebellum:GTEx/v8/Breast_Mammary_Tissue:GTEx/v8/Esophagus_Gastroesophageal_Junction:GTEx/v8/Esophagus_Muscularis:GTEx/v8/Heart_Atrial_Appendage:GTEx/v8/Heart_Left_Ventricle:GTEx/v8/Liver:GTEx/v8/Muscle_Skeletal:GTEx/v8/Pancreas:GTEx/v8/Stomach:GTEx/v8/Thyroid	0.157103	3.236e-14	214	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000015676	NA	NA	NA	NA	NA	2	PsychENCODE_eQTLs	1	1.167e-06	244	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000242265	NA	NA	NA	NA	NA	4	PsychENCODE_eQTLs:eQTLGen_cis_eQTLs:GTEx/v8/Lung:GTEx/v8/Whole_Blood	0.576461	3.115e-09	253	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000147601	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.190181	9.055e-13	287	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000104343	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.110655	9.319e-10	288	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000176406	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.999887	0.008731	297	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000186130	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.96714	2.36e-21	323	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000197748	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.159806	6.168e-08	350	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000149972	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.210795	3.42e-16	377	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000151233	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.122313	3.1e-09	391	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000173064	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.218209	6.111e-11	405	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000135108	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.875469	1.232e-08	406	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000150967	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.999074	4.021e-22	408	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000182196	NA	NA	NA	NA	NA	2	PsychENCODE_eQTLs	0.999999	4.021e-22	408	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000250091	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.624554	0.00509	409	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000103363	NA	NA	NA	NA	NA	1	PsychENCODE_eQTLs	0.214028	7.63e-10	470	NA	NA	NA	NA	NA	NA	NA	NA
